n,k,alpha,r,trials,detection_rate,trim_recovery_rate,contamination_cost,hill_mse,hill_benefit,hill_benefit_se,oracle_trimmed_hill_mse,oracle_trimmed_hill_benefit,oracle_trimmed_hill_benefit_se,adaptive_trimmed_hill_mse,adaptive_trimmed_hill_benefit,adaptive_trimmed_hill_benefit_se,harmonic_moment_beta_0.5_mse,harmonic_moment_beta_0.5_benefit,harmonic_moment_beta_0.5_benefit_se,harmonic_moment_beta_1_mse,harmonic_moment_beta_1_benefit,harmonic_moment_beta_1_benefit_se,harmonic_moment_beta_2_mse,harmonic_moment_beta_2_benefit,harmonic_moment_beta_2_benefit_se,study,level_regime,signal,signal_over_D,signal_over_I,signal_over_R,profile,tau
10000,100,0.011788231063225867,1,5000,0.029,0.0168,0.00022134335883116778,0.002748426234049894,0.0,0.0,0.0025410546009671307,0.00020737163308276352,2.029239882533911e-05,0.0027728723813629985,-2.4446147313103847e-05,9.173277887653498e-06,0.0026602158659158933,8.821036813400108e-05,2.0598404027753523e-05,0.0028663915288690877,-0.00011796529481919347,3.158445114802502e-05,0.003438724576218206,-0.0006902983421683119,5.037035089937564e-05,detection_transition,vanishing,1.3486477411459479,0.4000000000000001,2.6837751190448778,0.2697295482291896,,
10000,100,0.011788231063225867,1,5000,0.0788,0.0682,0.00034225252274772995,0.0028513376410217264,0.0,0.0,0.00252660725533122,0.00032473038569050673,2.969184223018401e-05,0.0028941538867788344,-4.281624575710796e-05,1.6114483281229656e-05,0.002599128589130385,0.00025220905189134103,2.5924777381048047e-05,0.002785495508438019,6.584213258370696e-05,3.61545028693506e-05,0.0032930432007124153,-0.00044170555969068835,5.1123817860116245e-05,detection_transition,vanishing,2.0229716117189214,0.6,4.025662678567316,0.4045943223437843,,
10000,100,0.011788231063225867,1,5000,0.144,0.1318,0.0005507618251015118,0.003088814455001995,0.0,0.0,0.0025776845948613718,0.0005111298601406229,3.413888065959735e-05,0.003244854682903398,-0.0001560402279014028,1.9029104890148095e-05,0.0026841727250566253,0.0004046417299453696,2.9181336192305664e-05,0.002889964090258635,0.00019885036474336023,3.965640922213583e-05,0.0034652760701388906,-0.0003764616151368956,5.501803947620562e-05,detection_transition,vanishing,2.3601335470054083,0.7,4.696606458328535,0.47202670940108166,,
10000,100,0.011788231063225867,1,5000,0.2654,0.2554,0.000677331151271237,0.003127228837124733,0.0,0.0,0.0024703422844075946,0.0006568865527171379,3.8695881582620227e-05,0.003332337893010619,-0.0002051090558858861,2.5655486161332167e-05,0.0026056265083340864,0.0005216023287906458,3.161318459627265e-05,0.0028249800989652157,0.0003022487381595169,4.163210274749833e-05,0.0034316495927859555,-0.0003044207556612233,5.7547503527245835e-05,detection_transition,vanishing,2.6972954822918958,0.8000000000000002,5.3675502380897555,0.5394590964583792,,
10000,100,0.011788231063225867,1,5000,0.4766,0.465,0.000902170586531449,0.0033729369795321815,0.0,0.0,0.0024949181038480756,0.0008780188756841063,4.2783904949760507e-05,0.0036379927998692664,-0.00026505582033708444,3.094789393432848e-05,0.0026306010801189425,0.0007423358994132394,3.4754344256009787e-05,0.0028258412994297756,0.0005470956801024062,4.4505954414131814e-05,0.003391498039314476,-1.8561059782293926e-05,5.764367529366335e-05,detection_transition,vanishing,3.0344574175783823,0.9,6.038494017850974,0.6068914835156765,,
10000,100,0.011788231063225867,1,5000,0.7304,0.7186,0.0011931688538608662,0.0036648675668335116,0.0,0.0,0.0024963039083367574,0.0011685636584967537,4.819256702923892e-05,0.0035312330912017835,0.00013363447563172808,3.992653629404317e-05,0.0026414986174594164,0.0010233689493740947,3.889627922678162e-05,0.0028207857679671566,0.0008440817988663547,4.807700506667889e-05,0.0034015396431853785,0.0002633279236481327,5.9669098816123863e-05,detection_transition,vanishing,3.3716193528648692,1.0,6.7094377976121935,0.6743238705729738,,
10000,100,0.011788231063225867,1,5000,0.927,0.915,0.0012654146669218264,0.0037709341226114346,0.0,0.0,0.0025216825686508095,0.0012492515539606246,5.311335115178835e-05,0.0030148830367037575,0.0007560510859076766,4.89890852134108e-05,0.002636132078280625,0.0011348020443308095,4.389932105131026e-05,0.002835112822910491,0.0009358212997009435,5.374618794395142e-05,0.0033989898023001727,0.00037194432031126143,6.51136784056122e-05,detection_transition,vanishing,3.7087812881513567,1.1,7.380381577373414,0.7417562576302713,,
10000,100,0.011788231063225867,1,5000,0.9824,0.9722,0.0017358738075135207,0.004266653514457967,0.0,0.0,0.002545898886708367,0.0017207546277496,5.7874226276157854e-05,0.0027302282400200896,0.0015364252744378766,5.61571708737519e-05,0.002716560631729749,0.0015500928827282174,4.800151739450599e-05,0.0028923994883620742,0.0013742540260958923,5.8016983463192124e-05,0.003463372003464629,0.0008032815109933382,6.97628601419e-05,detection_transition,vanishing,4.045943223437843,1.2,8.051325357134631,0.8091886446875686,,
10000,100,0.011788231063225867,1,5000,0.9976,0.9878,0.0018506593468211755,0.004240250370140981,0.0,0.0,0.0024066503486859887,0.0018336000214549922,6.077138517231086e-05,0.002457174527718822,0.0017830758424221588,6.0848425197307685e-05,0.0025223699598129266,0.0017178804103280547,5.136628797465422e-05,0.0026967877870948394,0.001543462583046142,6.134706093560886e-05,0.0032583311907484784,0.0009819191793925034,7.188271698640422e-05,detection_transition,vanishing,4.38310515872433,1.3,8.722269136895852,0.876621031744866,,
10000,100,0.011788231063225867,1,5000,1.0,0.9874,0.002735336253004154,0.005263666819158012,0.0,0.0,0.0025413410442352347,0.002722325774922777,7.2315817267229e-05,0.0025543586950038566,0.002709308124154155,7.302399129468507e-05,0.002727330171051461,0.0025363366481065508,6.137145443508786e-05,0.002897540715982906,0.0023661261031751053,7.099229304726685e-05,0.0035046283494398226,0.0017590384697181894,7.973008418737617e-05,detection_transition,vanishing,5.057429029297304,1.5,10.06415669641829,1.011485805859461,,
