n,k,h,alpha,gamma,nominal_r,effective_r,signal_label,signal,delta,I,D,R,signal_over_I,signal_over_D,signal_over_R,trials,trim_recovery_rate,detection_rate,overtrim_rate,undertrim_rate,adaptive_interlock_failure_rate,contamination_cost,contamination_cost_se,estimator,usable_trials,failure_rate,mean,bias,variance,mse,rmse,mse_se,benefit_vs_contaminated_hill,benefit_vs_contaminated_hill_se
1000,31,10,0.02095685522351266,0.5,1,0,0,0.0,1.0,0.5082650227325636,3.0839372804130885,2.7838821814150108,0.0,0.0,0.0,5000,0.9816,0.0184,0.0184,0.0,0.0,0.0,0.0,hill,5000,0.0,0.4973183942629921,-0.002681605737007915,0.0080975845589763,0.00810315605139326,0.09001753191125193,0.0001675255793562608,0.0,0.0
1000,31,10,0.02095685522351266,0.5,1,0,0,0.0,1.0,0.5082650227325636,3.0839372804130885,2.7838821814150108,0.0,0.0,0.0,5000,0.9816,0.0184,0.0184,0.0,0.0,0.0,0.0,oracle_trimmed_hill,5000,0.0,0.4973183942629921,-0.002681605737007915,0.0080975845589763,0.00810315605139326,0.09001753191125193,0.0001675255793562608,0.0,0.0
1000,31,10,0.02095685522351266,0.5,1,0,0,0.0,1.0,0.5082650227325636,3.0839372804130885,2.7838821814150108,0.0,0.0,0.0,5000,0.9816,0.0184,0.0184,0.0,0.0,0.0,0.0,adaptive_trimmed_hill,5000,0.0,0.4953816173839676,-0.004618382616032354,0.008270995783456898,0.008290671042288277,0.09105312208973548,0.00017115387460940666,-0.00018751499089501587,3.669935440786898e-05
1000,31,10,0.02095685522351266,0.5,1,0,0,0.0,1.0,0.5082650227325636,3.0839372804130885,2.7838821814150108,0.0,0.0,0.0,5000,0.9816,0.0184,0.0184,0.0,0.0,0.0,0.0,harmonic_moment_beta_0.5,5000,0.0,0.5012381368093555,0.0012381368093554311,0.008708557129150874,0.008708348400483725,0.09331853192417745,0.0001884319295398816,-0.000605192349090465,6.185413549763328e-05
1000,31,10,0.02095685522351266,0.5,1,0,0,0.0,1.0,0.5082650227325636,3.0839372804130885,2.7838821814150108,0.0,0.0,0.0,5000,0.9816,0.0184,0.0184,0.0,0.0,0.0,0.0,harmonic_moment_beta_1,5000,0.0,0.5044382436095586,0.0044382436095585535,0.009640370504335955,0.009658140436572876,0.09827583851879808,0.00022259695590777387,-0.0015549843851796147,0.00011825409702012485
1000,31,10,0.02095685522351266,0.5,1,0,0,0.0,1.0,0.5082650227325636,3.0839372804130885,2.7838821814150108,0.0,0.0,0.0,5000,0.9816,0.0184,0.0184,0.0,0.0,0.0,0.0,harmonic_moment_beta_2,5000,0.0,0.510062287851049,0.010062287851049012,0.01197293087342264,0.012071785924045324,0.10987167935389594,0.00031605559561349297,-0.003968629872652064,0.0002367152852847399
1000,31,10,0.02095685522351266,0.5,1,1,0.5I,0.2541325113662818,1.2893426455039125,0.5082650227325636,3.0839372804130885,2.7838821814150108,0.5,0.08240521393880006,0.09128709291752769,5000,0.005,0.0238,0.0188,0.9762,0.0,6.783976132637554e-05,2.126797779635345e-05,hill,5000,0.0,0.5082365808135764,0.008236580813576328,0.008413279959559013,0.008479438567065675,0.09208386702927758,0.0001870592002424439,0.0,0.0
1000,31,10,0.02095685522351266,0.5,1,1,0.5I,0.2541325113662818,1.2893426455039125,0.5082650227325636,3.0839372804130885,2.7838821814150108,0.5,0.08240521393880006,0.09128709291752769,5000,0.005,0.0238,0.0188,0.9762,0.0,6.783976132637554e-05,2.126797779635345e-05,oracle_trimmed_hill,5000,0.0,0.5002670362452559,0.0002670362452558585,0.008724074068865804,0.00872240056240831,0.09339379295439451,0.00018759787105841026,-0.00024296199534263674,4.71093313555107e-05
1000,31,10,0.02095685522351266,0.5,1,1,0.5I,0.2541325113662818,1.2893426455039125,0.5082650227325636,3.0839372804130885,2.7838821814150108,0.5,0.08240521393880006,0.09128709291752769,5000,0.005,0.0238,0.0188,0.9762,0.0,6.783976132637554e-05,2.126797779635345e-05,adaptive_trimmed_hill,5000,0.0,0.5056611768320206,0.005661176832020657,0.008700524124995357,0.008730832943293765,0.09343892627429837,0.00019031217862000604,-0.00025139437622809203,4.436931748252451e-05
1000,31,10,0.02095685522351266,0.5,1,1,0.5I,0.2541325113662818,1.2893426455039125,0.5082650227325636,3.0839372804130885,2.7838821814150108,0.5,0.08240521393880006,0.09128709291752769,5000,0.005,0.0238,0.0188,0.9762,0.0,6.783976132637554e-05,2.126797779635345e-05,harmonic_moment_beta_0.5,5000,0.0,0.5084891248856094,0.008489124885609335,0.008968025929422484,0.009038297565560072,0.09506996142609964,0.00020651755935660279,-0.000558858998494398,6.606402780132091e-05
1000,31,10,0.02095685522351266,0.5,1,1,0.5I,0.2541325113662818,1.2893426455039125,0.5082650227325636,3.0839372804130885,2.7838821814150108,0.5,0.08240521393880006,0.09128709291752769,5000,0.005,0.0238,0.0188,0.9762,0.0,6.783976132637554e-05,2.126797779635345e-05,harmonic_moment_beta_1,5000,0.0,0.5096147385143748,0.009614738514374766,0.00991243181113435,0.010002892521471924,0.10001446156167579,0.0002378186616960812,-0.0015234539544062506,0.00011948209010870375
1000,31,10,0.02095685522351266,0.5,1,1,0.5I,0.2541325113662818,1.2893426455039125,0.5082650227325636,3.0839372804130885,2.7838821814150108,0.5,0.08240521393880006,0.09128709291752769,5000,0.005,0.0238,0.0188,0.9762,0.0,6.783976132637554e-05,2.126797779635345e-05,harmonic_moment_beta_2,5000,0.0,0.5135269421626127,0.013526942162612795,0.012299376489909237,0.012479894778881926,0.11171344940911065,0.00031940992795471106,-0.004000456211816255,0.0002246079933226051
1000,31,10,0.02095685522351266,0.5,1,1,1.5I,0.7623975340988454,2.1434089611499227,0.5082650227325636,3.0839372804130885,2.7838821814150108,1.5,0.24721564181640018,0.2738612787525831,5000,0.0094,0.0298,0.0204,0.9702,0.0,0.0005662290665451896,6.307965806242183e-05,hill,5000,0.0,0.5238085115961263,0.023808511596126278,0.008223356073295586,0.008788556626503808,0.093747301969197,0.00019592514443997217,0.0,0.0
1000,31,10,0.02095685522351266,0.5,1,1,1.5I,0.7623975340988454,2.1434089611499227,0.5082650227325636,3.0839372804130885,2.7838821814150108,1.5,0.24721564181640018,0.2738612787525831,5000,0.0094,0.0298,0.0204,0.9702,0.0,0.0005662290665451896,6.307965806242183e-05,oracle_trimmed_hill,5000,0.0,0.49933934914224554,-0.0006606508577544022,0.008497193592232551,0.008495930613069955,0.092173372581619,0.00017691984104520957,0.000292626013433853,7.328928368323956e-05
1000,31,10,0.02095685522351266,0.5,1,1,1.5I,0.7623975340988454,2.1434089611499227,0.5082650227325636,3.0839372804130885,2.7838821814150108,1.5,0.24721564181640018,0.2738612787525831,5000,0.0094,0.0298,0.0204,0.9702,0.0,0.0005662290665451896,6.307965806242183e-05,adaptive_trimmed_hill,5000,0.0,0.5203432415070715,0.020343241507071345,0.008617887555840727,0.009030011453344589,0.09502637240968735,0.00019682586169380488,-0.00024145482684078003,5.805980666929874e-05
